letter,unit-0,unit-1,unit-2,unit-3,unit-4,unit-5,unit-6,unit-7,unit-8,unit-9,unit-10,unit-11,unit-12,unit-13,unit-14,unit-15,unit-16,unit-17,unit-18,unit-19,unit-20,unit-21,unit-22,unit-23,unit-24,unit-25,unit-26,unit-27
A,0.484967146,0.252030382,0.219997299,0.207167698,0.219546638,0.407019946,0.288551213,0.414494724,0.403435232,0.287978577,0.310485833,1.589998453,0.723560033,0.033503472,0.919650845,0.200692101,0.723560033,0.069900651,0.778592749,0.236626449,0.92122903,0.047381065,0.674635981,0.228101673,1.152057599,0.052030415,0.722281335,1.352034037
A,0.480788682,0.234873643,0.202477278,0.187857018,0.194378187,0.398833984,0.304982136,0.421230607,0.399819572,0.284853222,0.303580903,1.556648686,0.7188143,0.032396365,0.887580576,0.190629965,0.7188143,0.087229881,0.778861427,0.230504175,0.899145033,0.045815378,0.672273352,0.219274572,1.126472652,0.034361534,0.719908525,1.318983677
A,0.48442479,0.228489602,0.196018164,0.181189017,0.204008573,0.405233132,0.304677088,0.416177489,0.394744728,0.287007509,0.29433849,1.556915588,0.717460766,0.032641372,0.887078447,0.198549713,0.717460766,0.085196481,0.782414769,0.232247431,0.902004014,0.040801715,0.677308463,0.229071742,1.131319053,0.033645956,0.730293704,1.333510898
A,0.480914881,0.203983432,0.17089536,0.16202434,0.170318334,0.402297008,0.30667146,0.405141855,0.391884598,0.277104257,0.303660588,1.563220038,0.754979532,0.029209353,0.865921196,0.17488124,0.754979532,0.082616527,0.766710751,0.225673792,0.921439988,0.036229744,0.656198578,0.218882831,1.145140768,0.033402173,0.699384216,1.339251485
A,0.478412743,0.214683279,0.182269413,0.165842015,0.182269413,0.413289351,0.301131368,0.412877339,0.400234801,0.290194204,0.298063736,1.561697748,0.734705166,0.026091791,0.881964276,0.186149886,0.734705166,0.086142433,0.775281897,0.216577579,0.912019124,0.055349046,0.676779003,0.214683279,1.125430606,0.023337207,0.712883874,1.317674175
A,0.483943464,0.228830793,0.186519355,0.171283169,0.194980406,0.401560688,0.300753424,0.40661978,0.38346874,0.281536155,0.31141633,1.590287752,0.761305061,0.034920262,0.886379249,0.191078546,0.761305061,0.083413992,0.777157571,0.222311868,0.943607565,0.054230669,0.677605543,0.211904511,1.162809881,0.042347038,0.715502054,1.352562014
A,0.486073474,0.215830243,0.190126722,0.174595861,0.198751413,0.409327048,0.296686127,0.414483985,0.400491611,0.289437931,0.311872833,1.589495592,0.76694784,0.035595635,0.88421939,0.196867471,0.76694784,0.065748566,0.764904328,0.215830243,0.957780595,0.043166049,0.673445696,0.207915222,1.169951225,0.05033983,0.718633686,1.353102431
A,0.49475638,0.213141957,0.195412307,0.187180692,0.204276767,0.400967258,0.287388103,0.417135526,0.40282836,0.286427625,0.302210839,1.584310127,0.760926755,0.036585206,0.884922565,0.191546403,0.760926755,0.075812789,0.77517583,0.216076924,0.944737078,0.044366079,0.674422772,0.222539119,1.15872783,0.039682227,0.724132695,1.354437603
A,0.482552255,0.234531181,0.190145592,0.191210842,0.189503568,0.403107849,0.302330886,0.405719589,0.400276148,0.271163072,0.306997791,1.576481563,0.763673962,0.037164707,0.878784355,0.177092394,0.763673962,0.072671301,0.772716845,0.216705621,0.935349201,0.045068828,0.676272738,0.216518078,1.149034157,0.05771626,0.713170586,1.344139532
A,0.494266533,0.218901904,0.18201523,0.174838231,0.200173421,0.398381557,0.276443517,0.400037176,0.393477892,0.282211079,0.303782064,1.57687456,0.748649368,0.028743228,0.902418356,0.187382922,0.748649368,0.078190034,0.770511542,0.227235171,0.935149344,0.052999894,0.672677518,0.218901904,1.15867657,0.052999894,0.721735534,1.352154287
A,0.500380888,0.221609844,0.202649679,0.186095857,0.202649679,0.399194786,0.29803193,0.423385012,0.399512828,0.288210338,0.300437164,1.571146483,0.751177456,0.029098798,0.884766171,0.189700955,0.751177456,0.094738823,0.774815266,0.221227428,0.934293486,0.065066891,0.680936746,0.230230161,1.152437317,0.033177734,0.727469952,1.360287114
A,0.485912658,0.216105041,0.188423651,0.192073843,0.197642354,0.416666667,0.291219896,0.410051657,0.395284708,0.274019717,0.304195204,1.590799284,0.760573614,0.026352314,0.895833333,0.194543625,0.760573614,0.08789593,0.775548641,0.230488611,0.95032889,0.059657588,0.689517243,0.224381867,1.175265927,0.04658475,0.745414221,1.373989528
A,0.490296605,0.240590284,0.20426387,0.199515528,0.221627983,0.418790806,0.300034996,0.420531243,0.397426212,0.278247571,0.311969444,1.603685384,0.780011401,0.042731531,0.888826118,0.202468109,0.780011401,0.074627411,0.755997959,0.227121203,0.979149002,0.048721442,0.668922505,0.23110609,1.200824453,0.068902524,0.737289198,1.400166937
A,0.504825399,0.235514472,0.187943548,0.183657216,0.184928215,0.420254548,0.302554786,0.426011728,0.410670019,0.281873775,0.31603512,1.616751529,0.806838568,0.043288421,0.878765605,0.195996661,0.806838568,0.08326694,0.747274005,0.223470577,1.000421536,0.061219072,0.648532206,0.224516303,1.220741143,0.061979586,0.713208756,1.412854745
A,0.518178905,0.2585173,0.210766476,0.204828197,0.22060672,0.426653916,0.31372047,0.427347474,0.411699581,0.289329824,0.324394797,1.632106301,0.807785414,0.050661956,0.884326616,0.197965965,0.807785414,0.063619054,0.757522329,0.226567154,1.000740101,0.050661956,0.665687006,0.231949547,1.221920551,0.063619054,0.74152001,1.415260224
A,0.507450601,0.247431796,0.2,0.194295165,0.207911962,0.429020605,0.31428889,0.425242632,0.409782577,0.285424233,0.324395243,1.616570671,0.810807198,0.039557454,0.875697417,0.175239968,0.810807198,0.079730598,0.766345916,0.228313686,0.981989398,0.044226578,0.662661154,0.230869516,1.20751518,0.057664403,0.73507979,1.401710447
A,0.503066338,0.235294118,0.197056385,0.18315237,0.197056385,0.42531396,0.313878639,0.431483943,0.406242144,0.285494505,0.321592539,1.595962804,0.803802,0.040422604,0.86374719,0.17674271,0.803802,0.070697084,0.74748071,0.226341106,0.978085522,0.040422604,0.647058824,0.219222351,1.201370485,0.049019608,0.719370052,1.383847058
